"title","type","genres","releaseYear","imdbId","imdbAverageRating","imdbNumVotes","availableCountries","service"
"The Fifth Element","movie","Action, Adventure, Sci-Fi",1997,"tt0119116",7.6,517631,"AT, CH, DE","Netflix"
"Kill Bill: Vol. 1","movie","Action, Crime, Thriller",2003,"tt0266697",8.2,1223205,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TD, TR, TZ, UA, UG, YE, ZA, ZM, ZW","Netflix"
"Jarhead","movie","Biography, Drama, War",2005,"tt0418763",7,211839,"AD, AE, AG, AL, AO, AT, AZ, BA, BG, BH, BM, BR, BS, BY, BZ, CH, CI, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, GF, GH, GR, GT, HK, HN, HR, HU, ID, IL, IQ, IS, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NG, NL, NO, NZ, PA, PE, PF, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, SV, TC, TH, TR, TW, TZ, UA, US, UY, VE, ZA, ZM, ZW","Netflix"
"Unforgiven","movie","Drama, Western",1992,"tt0105695",8.2,444402,"AU, BA, BG, CZ, HR, HU, MD, ME, MK, NZ, PL, RO, RS, SI, SK","Netflix"
"Eternal Sunshine of the Spotless Mind","movie","Drama, Romance, Sci-Fi",2004,"tt0338013",8.3,1106220,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Amores Perros","movie","Drama, Thriller",2000,"tt0245712",8,256780,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"A History of Violence","movie","Action, Crime, Drama",2005,"tt0399146",7.4,259294,"AD, CA, ES, GB, GG, IE, PT","Netflix"
"2001: A Space Odyssey","movie","Adventure, Sci-Fi",1968,"tt0062622",8.3,736508,"AU, NZ","Netflix"
"Talk to Her","movie","Drama, Mystery, Romance",2002,"tt0287467",7.9,118788,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"8 Mile","movie","Drama, Music",2002,"tt0298203",7.2,330832,"AE, AO, BH, CH, CI, CM, CV, CY, DZ, EG, FJ, FR, GB, GG, GH, GI, GQ, HK, ID, IE, IL, IN, IQ, IT, JO, JP, KE, KW, LB, LY, MA, MC, MG, ML, MU, MX, MY, MZ, NE, NG, OM, PH, PK, PS, QA, SA, SC, SG, SM, SN, TH, TN, TR, TW, TZ, UG, US, YE, ZA, ZM, ZW","Netflix"
